salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
15k-25k,上海,3-5年,浦东新区,150-500人,上海驻云信息科技有限公司,"移动互联网,企业服务","股票期权,带薪年假,定期体检,年度旅游,",,开发/测试/运维类,"阿里云,晋升快,空间大",Python开发工程师,大专,C轮,2017-12-20 11:11:47
15k-25k,上海,1-3年,黄浦区,50-150人,上海谷露软件有限公司,"数据服务,招聘","团队融洽,股票期权,扁平管理,帅哥多,","php,Java,",开发/测试/运维类,"工程师文化,大牛,高薪",Python工程师,本科,A轮,2017-12-20 10:24:46
25k-35k,上海,5-10年,杨浦区,500-2000人,上海优刻得信息科技有限公司,"数据服务,企业服务","节日礼物,技能培训,股权激励计划,代码改变世界,","云计算,专家,Java,",开发/测试/运维类,"六险一金,弹性工作,年终旅游,技术挑战",资深Python开发工程师,本科,D轮及以上,2017-12-21 01:07:25
12k-22k,上海,3-5年,徐汇区,150-500人,上海迈外迪网络科技有限公司,"移动互联网,O2O","岗位晋升,技能培训,管理规范,领导好,",,技术,海量数据处理 架构设计,高级Python工程师,本科,D轮及以上,2017-12-20 10:52:57
12k-24k,上海,3-5年,徐汇区,50-150人,上海壤歌市场营销策划有限公司,"移动互联网,企业服务","股票期权,绩效奖金,岗位晋升,扁平管理,",,技术,"技术氛围,技术驱动,氛围年轻,福利多",Python,不限,A轮,2017-12-20 15:15:04
25k-35k,上海,5-10年,杨浦区,500-2000人,上海优刻得信息科技有限公司,"数据服务,企业服务","节日礼物,技能培训,股权激励计划,代码改变世界,","云计算,Java,",开发/测试/运维类,"六险一金,弹性工作,年终旅游,技术挑战",高级Python开发工程师,本科,D轮及以上,2017-12-21 01:07:25
15k-25k,上海,1-3年,浦东新区,50-150人,上海进馨网络科技有限公司,"移动互联网,教育","股票期权,岗位晋升,扁平管理,五险一金,","云计算,linux,php,Ruby,",技术,福利好、发展前景大、工作氛围好、妹子多,Python开发工程师,本科,B轮,2017-12-20 17:43:00
12k-24k,上海,3-5年,徐汇区,150-500人,上海众言网络科技有限公司,移动互联网,"技能培训,节日礼物,年底双薪,绩效奖金,","后端开发,Java,redis,",开发/测试/运维类,"五险一金,季度旅游,生日会,带薪年假",Python开发,本科,B轮,2017-12-20 11:00:30
25k-40k,上海,3-5年,徐汇区,2000人以上,北京爱奇艺科技有限公司,"广告营销,文化娱乐","绩效奖金,五险一金,交通补助,带薪年假,","直播,高级,django,",开发/测试/运维类,空间大,Python开发工程师,本科,D轮及以上,2017-12-20 10:21:18
15k-30k,上海,3-5年,徐汇区,50-150人,上海贝涛金融信息服务有限公司,金融,"节日礼物,年底双薪,专项奖金,带薪年假,","金融,后端开发,MySQL,redis,架构,",开发/测试/运维类,"商业保险,年度旅游,带薪年病假,弹性工作",高级Python研发工程师,本科,A轮,2017-12-19 09:54:19
