work_location,publish_time,position_category,position_link,hiring_number,position_name
深圳,2017-11-30,技术类,http://hr.tencent.com/position_detail.php?id=34475&keywords=&tid=0&lid=0,1,MIG15-嵌入式终端开发工程师（深圳）
上海,2017-11-30,市场类,http://hr.tencent.com/position_detail.php?id=29044&keywords=&tid=0&lid=0,1,23294-互娱品牌经理(上海)
深圳,2017-11-30,技术类,http://hr.tencent.com/position_detail.php?id=34658&keywords=&tid=0&lid=0,1,TEG13-大数据挖掘工程师（深圳）
深圳,2017-11-30,产品/项目类,http://hr.tencent.com/position_detail.php?id=32639&keywords=&tid=0&lid=0,1,TEG11-产品经理（深圳）
深圳,2017-11-30,技术类,http://hr.tencent.com/position_detail.php?id=28261&keywords=&tid=0&lid=0,1,SD3-移动客户端开发（深圳）
深圳,2017-11-30,技术类,http://hr.tencent.com/position_detail.php?id=26470&keywords=&tid=0&lid=0,2,21309-在线教育JAVA后台开发工程师（深圳）
北京,2017-11-29,市场类,http://hr.tencent.com/position_detail.php?id=34661&keywords=&tid=0&lid=0,1,22850-腾讯视频VIP渠道BD经理
北京,2017-11-29,产品/项目类,http://hr.tencent.com/position_detail.php?id=34648&keywords=&tid=0&lid=0,1,24932-漫改影视制片人
深圳,2017-11-29,市场类,http://hr.tencent.com/position_detail.php?id=30145&keywords=&tid=0&lid=0,1,HY3-互娱战略发展经理（深圳）
深圳,2017-11-28,产品/项目类,http://hr.tencent.com/position_detail.php?id=34646&keywords=&tid=0&lid=0,1,MIG18-双百投后内容运营产品经理（深圳）
成都,2017-11-28,产品/项目类,http://hr.tencent.com/position_detail.php?id=34624&keywords=&tid=0&lid=0,1,15575-《王者荣耀》游戏运营（产品运营方向）
深圳,2017-11-28,产品/项目类,http://hr.tencent.com/position_detail.php?id=34608&keywords=&tid=0&lid=0,2,21309-腾讯课堂设计培训类目经理（深圳）
北京,2017-11-28,产品/项目类,http://hr.tencent.com/position_detail.php?id=34628&keywords=&tid=0&lid=0,1,22090-天天快报-高级产品经理（客户端方向）（北京）
北京,2017-11-28,产品/项目类,http://hr.tencent.com/position_detail.php?id=34630&keywords=&tid=0&lid=0,1,22090-天天快报-高级产品经理（流量分配与合作方向）（北京）
北京,2017-11-28,产品/项目类,http://hr.tencent.com/position_detail.php?id=32584&keywords=&tid=0&lid=0,2,15612-MMORPG系统／剧情策划师（北京）
深圳,2017-11-28,产品/项目类,http://hr.tencent.com/position_detail.php?id=30741&keywords=&tid=0&lid=0,1,SNG01-QQ产品运营组长（深圳）
深圳,2017-11-27,产品/项目类,http://hr.tencent.com/position_detail.php?id=34593&keywords=&tid=0&lid=0,1,21309-企鹅辅导流量运营管理经理（深圳）
深圳,2017-11-27,产品/项目类,http://hr.tencent.com/position_detail.php?id=34589&keywords=&tid=0&lid=0,4,21309-企鹅辅导学科运营（深圳）
深圳,2017-11-27,技术类,http://hr.tencent.com/position_detail.php?id=34570&keywords=&tid=0&lid=0,3,SNG11-腾讯云移动安全工程师（深圳）
深圳,2017-11-27,产品/项目类,http://hr.tencent.com/position_detail.php?id=34574&keywords=&tid=0&lid=0,1,SNG16-全民K歌内容社区高级产品经理（深圳）
香港,2017-11-27,职能类,http://hr.tencent.com/position_detail.php?id=33793&keywords=&tid=0&lid=0,0,14173-投资公司CXO 招聘副总监
北京,2017-11-27,内容编辑类,http://hr.tencent.com/position_detail.php?id=34551&keywords=&tid=0&lid=0,1,23675-渠道拓展（北京）
深圳,2017-11-27,技术类,http://hr.tencent.com/position_detail.php?id=31282&keywords=&tid=0&lid=0,1,22989-企业云后台开发工程师（深圳）
深圳,2017-11-27,职能类,http://hr.tencent.com/position_detail.php?id=28284&keywords=&tid=0&lid=0,1,21645-移动互联高级法律顾问（深圳）
深圳,2017-11-27,产品/项目类,http://hr.tencent.com/position_detail.php?id=31289&keywords=&tid=0&lid=0,1,MIG18-众创空间AI项目高级产品经理（深圳）
深圳,2017-11-26,技术类,http://hr.tencent.com/position_detail.php?id=24411&keywords=&tid=0&lid=0,6,18428-财付通清算业务测试工程师（深圳）
深圳,2017-11-26,技术类,http://hr.tencent.com/position_detail.php?id=31233&keywords=&tid=0&lid=0,0,MIG09-QQ浏览器社区前端开发工程师
上海,2017-11-26,市场类,http://hr.tencent.com/position_detail.php?id=28939&keywords=&tid=0&lid=0,1,SA-腾讯社交广告营销策划经理（上海）
深圳,2017-11-25,技术类,http://hr.tencent.com/position_detail.php?id=33824&keywords=&tid=0&lid=0,1,22989-金融云区块链高级研发工程师（深圳）
深圳,2017-11-25,技术类,http://hr.tencent.com/position_detail.php?id=30088&keywords=&tid=0&lid=0,1,MIG09-资讯推荐算法高级工程师
深圳,2017-11-24,设计类,http://hr.tencent.com/position_detail.php?id=34533&keywords=&tid=0&lid=0,1,15712-游戏美术3D动画特效设计
上海,2017-11-24,产品/项目类,http://hr.tencent.com/position_detail.php?id=34526&keywords=&tid=0&lid=0,1,HY2-游戏平台产品策划（上海）
深圳,2017-11-24,技术类,http://hr.tencent.com/position_detail.php?id=34518&keywords=&tid=0&lid=0,3,21309-在线教育Go后台工程师（深圳）
深圳,2017-11-24,职能类,http://hr.tencent.com/position_detail.php?id=32537&keywords=&tid=0&lid=0,1,CDG-HRBP（深圳）
